CID,BDATE,GEN
NASAW00011000,10-06-71,Male
NASAW00011001,05-10-76,Male
NASAW00011002,02-09-71,Male
NASAW00011003,08-14-73,Female
NASAW00011004,08-05-79,Female
NASAW00011005,08-01-76,Male
NASAW00011006,12-02-76,Female
NASAW00011007,11-06-69,Male
NASAW00011008,07-04-75,Female
NASAW00011009,09-29-69,Male
NASAW00011010,08-05-69,Female
NASAW00011011,05-03-69,Male
NASAW00011012,01-14-79,Female
NASAW00011013,08-03-79,Male
NASAW00011014,11-06-73,Female
NASAW00011015,08-26-84,Female
NASAW00011016,10-25-84,Male
NASAW00011017,12-24-49,Female
NASAW00011018,10-06-55,Male
NASAW00011019,09-04-83,Male
NASAW00011020,03-19-84,Male
NASAW00011021,03-02-84,Female
NASAW00011022,04-10-84,Female
NASAW00011023,04-09-84,Female
NASAW00011024,03-16-84,Female
NASAW00011025,06-22-51,Female
NASAW00011026,10-01-51,Female
NASAW00011027,06-05-52,Female
NASAW00011028,10-09-51,Female
NASAW00011029,06-19-52,Female
NASAW00011030,02-18-58,Female
NASAW00011031,02-18-53,Female
NASAW00011032,12-08-52,Female
NASAW00011033,09-19-58,Female
NASAW00011034,12-16-52,Female
NASAW00011035,08-23-53,Female
NASAW00011036,06-16-84,Female
NASAW00011037,05-27-83,Female
NASAW00011038,09-20-53,Female
NASAW00011039,06-16-54,  
NASAW00011040,01-29-83, 
NASAW00011041,04-15-83, 
NASAW00011042,12-11-82,Female
NASAW00011043,08-23-81,Female
NASAW00011044,11-21-54,Female
NASAW00011045,11-16-55,Female
NASAW00011046,09-19-55,Female
NASAW00011047,08-27-55,Female
NASAW00011048,05-21-56,Female
NASAW00011049,01-15-86,Female
NASAW00011050,03-06-57,Female
NASAW00011051,01-31-57,Female
NASAW00011052,02-03-57,Female
NASAW00011053,02-17-86,Female
NASAW00011054,09-07-57,Female
NASAW00011055,09-02-57,M 
NASAW00011056,10-01-58,F 
NASAW00011057,04-07-70,Female
NASAW00011058,04-23-65,Female
NASAW00011059,09-29-59,Female
NASAW00011060,09-14-59,Female
NASAW00011061,02-20-76,Male
NASAW00011062,03-01-81,Male
NASAW00011063,10-04-80,Female
NASAW00011064,06-05-81,Male
NASAW00011065,04-08-79,Female
NASAW00011066,05-27-79,Female
NASAW00011067,03-25-82,Male
NASAW00011068,09-19-66,Female
